03,20170303,analytical,value,0.653099
03,20170303,overpowering,value,1
03,20170303,anger,value,0.238306
03,20170303,disgust,value,0.140114
03,20170303,bins_variance,value,0.0611691182395
03,20170303,sentiment_score,value,0.582196
03,20170303,extraversion_big5,value,0.163117
03,20170303,tentative,value,0.786991
03,20170303,rank,value,9
03,20170303,conscientiousness_big5,value,0.028019
03,20170303,fear,value,0.165702
03,20170303,audio_link,value,https://dl.dropboxusercontent.com/u/4695582/03_20170303.wav
03,20170303,joy,value,0.231606
03,20170303,emotional_range_big5,value,0.046469
03,20170303,sadness,value,0.357426
03,20170303,sentiment,value,positive
03,20170303,openness_big5,value,0.439216
03,20170303,bins_mean,value,0.281755159605
03,20170303,agreeableness_big5,value,0.692922
03,20170303,word_count,value,22
03,20170303,confident,value,0.0
03,20170303,loudest_value,value,1.0
